rank,model_id,lane,C1,C2,C3,C4,C5,C6,C7,C8,C9,full_gate_score,retry_passes,first_break,C10_diagnostic
1,gemma4:31b-coding-mtp-bf16,local,P,P,P,P,P,P,P,P,P,9,0,none,X:TIMEOUT_5_OF_7_BEST
1,opencode-go/glm-5.2,hosted,P,P,P,P,P,P,P,P,P,9,0,none,X:FAIL
1,opencode-go/qwen3.7-max,hosted,P,P,P,P,P,P,P,P,P,9,0,none,X:FAIL
1,opencode-go/minimax-m3,hosted,P,P,P,P,P,P,P,P,P,9,0,none,X:FAIL
1,opencode-go/deepseek-v4-flash,hosted,P,P,P,P,P,P,P,P,P,9,0,none,X:CONTAMINATED_FAIL
1,opencode-go/deepseek-v4-pro,hosted,P,P,P,P,P,P,P,P,P,9,0,none,X:TIMEOUT
1,qwen3.6:27b-mtp-q8_0,local,P,P,P,P,P,P,P,P,R,9,1,none,X:TIMEOUT_3_OF_7_BEST
1,opencode-go/mimo-v2.5-pro,hosted,P,R,P,P,P,P,P,P,P,9,1,none,X:FAIL
1,opencode-go/qwen3.7-plus,hosted,P,R,P,P,P,P,P,P,P,9,1,none,X:TIMEOUT
1,opencode-go/qwen3.6-plus,hosted,P,P,P,P,P,P,R,P,R,9,2,none,X:FAIL
11,opencode-go/kimi-k2.7-code,hosted,P,P,P,P,P,P,P,P,G,8,0,C9,N
11,qwen3.6:35b-a3b-mtp-q8_0,local,P,P,P,P,P,P,P,P,F,8,0,C9,N
13,opencode-go/mimo-v2.5,hosted,P,P,P,P,P,P,P,F,N,7,0,C8,N
14,opencode-go/minimax-m2.7,hosted,P,P,P,P,P,P,F,N,N,6,0,C7,N
15,opencode-go/kimi-k2.6,hosted,P,G,N,N,N,N,N,N,N,1,0,C2,N
16,opencode-go/glm-5.1,hosted,F,N,N,N,N,N,N,N,N,0,0,C1,N
,GPT-5.5_xhigh,reference,N,N,N,N,N,N,N,N,N,,,not_run,X:PASS_7_OF_7
